mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,num,cost_grid
62399.99990000607,0.0,9878.779421883393,78833.15637848075,30.480000304080058,52.316619999102585,4.746299998545472,100.0,0.3,198.3755,2500.0,187.37,1.8342178346342701,id4,0.0,0.18511500383198654
62355.30493125687,24.3474,9563.048994140952,76392.15909985827,339.69157412654585,52.29467320573663,4.74158567565887,1114.0,0.378337,249.3013,2792.0,187.2636,1.7670588009528352,id4,0.0,0.09241066924823393
62312.304151894234,48.6947,9171.422225791828,73319.52577569886,685.0398954714994,52.267047064891436,4.735743372002672,2248.0,0.46015,302.0188,3000.0,187.2628,1.7470728167883098,id4,0.0,0.06353183043112372
62269.86686108463,73.0421,8696.493881001894,69592.93024572342,1056.0937840580775,52.233540742599,4.7286681223997435,3465.0,0.545505,356.5158,3000.0,187.2619,1.7406505169014026,id4,0.0,0.048840906019867375
62227.66530689972,97.3895,8135.184983326387,65188.01650003292,1427.1476726448577,52.19393502437566,4.720319763735182,4682.0,0.573195,373.0032,3000.0,187.2602,1.737549620169109,id4,0.0,0.0420842852918744
62185.558067728816,121.7368,7547.893707665592,60578.089650821435,1798.201561231637,52.15248534872874,4.711600853028597,5900.0,0.585411,379.3018,3000.0,187.2587,1.7272295411724796,id4,0.0,0.03825185934542413
62143.706054541835,146.0842,6950.7609654535845,55889.90646576827,2169.2554498183586,52.1103313798278,4.702752444860512,7117.0,0.597956,385.7369,3000.0,187.258,1.7168096155139412,id4,0.0,0.03804979243612756
62102.11198537764,170.4316,6343.504785873685,51121.78998113472,2540.3093384050158,52.067458009132594,4.693771159263762,8334.0,0.610842,392.3114,3000.0,187.2574,1.7062775690819356,id4,0.0,0.038308000617738446
62060.7785798384,194.7789,5725.90098671748,46272.02108060813,2911.363226991602,52.023849746817966,4.684654496937041,9552.0,0.624076,399.0279,3000.0,187.2569,1.695619727477672,id4,0.0,0.0384298159320057
62019.708562826454,219.1263,5097.719268431835,41338.84667228229,3282.417115578109,51.979490796192366,4.675399903267356,10769.0,0.63767,405.8893,3000.0,187.2555,1.6848615125908406,id4,0.0,0.038524399327287094
61978.90466829819,243.4737,4458.810036437251,36320.46875182084,3653.4710041645285,51.93436495458355,4.6660060359822335,11986.0,0.651634,412.8984,3000.0,187.2549,1.6739893431404131,id4,0.0,0.03824695010995298
61938.36964299648,267.821,3808.88129621626,31215.07301597385,4024.5248927508555,51.888455872639646,4.656469509674699,13204.0,0.665977,420.0578,3000.0,187.2543,1.6629883451229877,id4,0.0,0.038000254695663566
61898.10625011575,292.1684,3147.6918785200614,26020.804557083164,4395.578781337074,51.841746833791476,4.646787719563939,14421.0,0.680711,427.3703,3000.0,187.2546,1.651884879609575,id4,0.0,0.03620892125526326
61858.117272850555,316.5158,2474.923618888497,20735.784537259533,4766.632669923169,51.79422090504413,4.636956980337179,15639.0,0.695847,434.8385,3000.0,187.254,1.6406497619226825,id4,0.0,0.031015244668416885
61818.405517770705,340.8631,1790.4133232616941,15358.081164822588,5137.686558509125,51.745860674716916,4.626975902253141,16856.0,0.711395,442.4651,3000.0,187.2537,1.6293099894290115,id4,0.0,0.025418745917460378
61778.973817961014,365.2105,1093.8854907548186,9885.744336583124,5508.740447094919,51.696648565434906,4.616841502436877,18073.0,0.727367,450.2525,3000.0,187.2531,1.6178498159351857,id4,0.0,0.0224649260767791
61739.82503585657,389.5579,385.1136271992155,4316.78584547252,5879.794335680527,51.64656665528493,4.60655155254275,19291.0,0.743774,458.2034,3000.0,187.2523,1.6062527699001752,id4,0.0,0.020842676004598076
61700.96206569637,413.9053,-336.12976751770844,-1350.8133860465077,6250.848224265911,51.59559673536113,4.596103903881273,20508.0,0.760628,466.32,3000.0,187.2513,1.594546604006087,id4,0.0,0.010122311254158481
61662.38783426609,438.2526,-1070.0795328935776,-7119.101502598563,6621.902112851031,51.543720339530864,4.585496410401513,21725.0,0.777941,474.6048,3000.0,187.2508,1.5827148510720457,id4,0.0,0.0
61624.102825272734,462.6,-1817.054086924978,-12990.144882334143,6992.956001435829,51.49091884728701,4.574725480431337,22943.0,0.795725,483.0599,3000.0,187.2512,1.5707398320457522,id4,0.0,0.0
61586.0839184612,486.9474,-2577.406084717796,-18966.033142051332,7364.009890020269,51.43717341710767,4.563787245678292,24160.0,0.813991,491.6874,3000.0,187.2521,1.5586503257931412,id4,0.0,0.0
61548.244000782586,511.2947,-3351.470737038213,-25048.884290075348,7735.063778604427,51.3824649499393,4.5526781442612805,25378.0,0.82,492.8247,3000.0,187.2528,1.540147227664552,id4,0.0,0.0
61510.75683901791,535.6421,-4127.380574963932,-31145.691072463676,8106.1176671881,51.32762991554629,4.54156917573558,26595.0,0.82,490.3199,3000.0,187.2526,1.5195733609100868,id4,0.0,0.0
61473.73322527316,559.9895,-4899.29510488913,-37211.241266148325,8477.171555770992,51.27307496475731,4.5305437417061905,27812.0,0.82,487.8022,3000.0,187.2522,1.500172060464307,id4,0.0,0.0
61437.1409797098,584.3368,-5667.166689452732,-43245.376389439545,8848.225444352891,51.21880154386302,4.519602004648782,29030.0,0.82,485.2715,3000.0,187.2519,1.481999752782033,id4,0.0,0.0
61400.94586587119,608.6842,-6430.992842553885,-49247.929631088205,9219.279332933502,51.164811173558284,4.508743481004902,30247.0,0.82,482.7275,3000.0,187.2514,1.4651482241300093,id4,0.0,0.0
61365.111631034415,633.0316,-7190.722439656362,-55218.73771859488,9590.333221512425,51.11110534309542,4.497968388619386,31464.0,0.82,480.17,3000.0,187.2505,1.4496639478998044,id4,0.0,0.0
61329.600017843884,657.3789,-7946.295536567136,-61157.635843888806,9961.38711008908,51.05768555568308,4.487277072869657,32682.0,0.82,477.5988,2748.0,187.2494,1.3888222194794415,id4,0.0,0.0
61295.489208235565,681.7263,-8698.077629986372,-67067.63503493807,10301.328120894279,51.00452474716911,4.476663876627871,33797.0,0.82,475.231,2456.0,187.2485,1.3195983169213368,id4,0.0,0.0
61262.98130397275,706.0737,-9446.463625508333,-72951.66375166138,10605.13238419817,50.951596593371086,4.466122774873337,34794.0,0.82,473.1049,2164.0,187.2483,1.2493642004461365,id4,0.0,0.0
61232.10107359874,730.421,-10191.977899391304,-78813.23352706693,10872.799900001346,50.89886952190606,4.455645967110037,35672.0,0.82,471.2238,1872.0,187.2482,1.1781521877292416,id4,0.0,0.0
62399.99990000149,0.0,9878.779421790985,78833.15637846851,30.48000030466009,52.316619999102485,4.746299998544112,100.0,0.3,198.3755,2500.0,187.37,1.8342178346341969,id3,1.001,0.18511500383199778
62355.2210834612,24.393,9562.458251541595,76387.59185221946,340.27115979686573,52.29463214183601,4.741576859374215,1116.0,0.378486,249.3979,2793.0,181.1824,1.7671090729660222,id3,1.001,0.09234870331289208
62312.14127461976,48.786,9498.395065684676,73283.75862064703,686.334663095808,52.266719868543085,4.7405471924589655,2252.0,0.460462,302.2191,3000.0,179.3096,1.746946857051024,id3,1.001,0.06392347853705486
62269.628041711374,73.179,9543.775908042084,69517.74948160106,1058.0840544864313,52.23285062629072,4.741107337400657,3471.0,0.54599,356.8247,3000.0,178.5708,1.7407671321146603,id3,1.001,0.04919957322141365
62227.34543836762,97.572,9654.836293076736,65066.41620163709,1429.833445877123,52.192816983432756,4.742610754006788,4691.0,0.573282,373.0483,3000.0,178.8645,1.7374729503177273,id3,1.001,0.04155471093658119
62185.16148531299,121.965,9747.112237945003,60410.8871884223,1801.5828372678163,52.150947281344614,4.743830312513792,5911.0,0.585523,379.3598,3000.0,179.9785,1.727136045884594,id3,1.001,0.03594910792166588
62143.233745989026,146.358,9748.886540599156,55675.26221235569,2173.332228658495,52.10835884918182,4.743720128227638,7130.0,0.598096,385.8084,3000.0,181.2801,1.7166990649392362,id3,1.001,0.035020972938421914
62101.56495372044,170.751,9641.28337928695,50859.9480705094,2545.081620049155,52.06505566932637,4.742007894123654,8350.0,0.61101,392.3968,3000.0,182.5836,1.7061367093441826,id3,1.001,0.03458952658065765
62060.15784343475,195.144,9420.44646065113,45965.776910242996,2916.831011439794,52.02104522051598,4.7386420063430235,9570.0,0.624274,399.128,3000.0,183.8827,1.6954610504565362,id3,1.001,0.034150482396954125
62019.01515543387,219.537,9082.989119578486,40993.65110579191,3288.580402830409,51.97633553139451,4.73357807095143,10789.0,0.637899,406.0046,3000.0,185.1866,1.6846846557941149,id3,1.001,0.03376288223083947
