mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,num,cost_grid
62399.99990000597,0.0,9878.779421895846,78833.15637848261,30.480000303969295,52.316619999102606,4.746299998545655,100.0,0.3,198.3755,3000.0,187.37,1.9465227284550395,id4,0.0,0.18511500383201696
62353.01916329706,24.1173,9567.185758967818,76424.14241621448,398.02709358663765,52.29496076615575,4.741647413503396,1306.0,0.375427,247.2199,3289.0,187.3867,1.876754418726979,id4,0.0,0.08876578187875699
62307.768036709225,48.2345,9177.115400328425,73415.31010262313,801.0311121285107,52.26790837754737,4.735829645033808,2628.0,0.458243,300.3668,3579.0,187.3934,1.852953826868835,id4,0.0,0.06149837760298958
62263.16504635768,72.3518,8702.067632043163,69754.34954288784,1239.4920559293303,52.23499233068502,4.728754133620037,4067.0,0.542302,353.6712,3868.0,187.3978,1.8691896435773943,id4,0.0,0.047472294220846326
62218.24338900239,96.4691,8141.910928992165,65440.09752526065,1713.4099249884966,52.19620194077718,4.720424514554278,5621.0,0.58259,377.8506,4000.0,187.3859,1.876557185623484,id4,0.0,0.040620305931569026
62173.17388528975,120.5863,7544.275398731067,60829.66792079117,2203.472716031493,52.15474789271628,4.711553425033148,7229.0,0.59913,386.3373,4000.0,187.3529,1.8634449277904752,id4,0.0,0.03672880399484223
62128.42805552305,144.7036,6935.804307264995,56114.38098418808,2693.535507074428,52.1123503128727,4.702538017764335,8837.0,0.616264,395.0676,4000.0,187.3116,1.8500164740698195,id4,0.0,0.036076780833158406
62084.01356014955,168.8208,6316.939941994996,51291.1641512273,3183.5982981172947,52.0689815295187,4.693385679860177,10445.0,0.634014,404.0477,4000.0,187.2787,1.8362734820185764,id4,0.0,0.035994094163481746
62039.93799981028,192.9381,5686.726750690159,46357.04586510474,3673.661089160085,52.024614795251935,4.684083381121825,12053.0,0.652404,413.2841,4000.0,187.2595,1.8222175041236586,id4,0.0,0.0358174216132015
61996.20891880059,217.0554,5043.685394897575,41309.04166540413,4163.72388020279,51.97922324657341,4.674610535441448,13661.0,0.671458,422.783,4000.0,187.2464,1.807849780789004,id4,0.0,0.035667679538534613
61952.83380903153,241.1726,4386.944222871112,36144.010978261955,4653.786671245404,51.93277860376693,4.664955544876763,15268.0,0.691201,432.5506,4000.0,187.2298,1.7931826756980849,id4,0.0,0.035243219536772945
61909.82011425322,265.2899,3716.456234911709,30858.63178388682,5143.8494622879125,51.88525094502336,4.655118920276121,16876.0,0.711657,442.5931,4000.0,187.2097,1.7781946712006653,id4,0.0,0.03436690498339509
61867.17523425807,289.4072,3032.1976861215276,25449.504664572927,5633.9122533303,51.83660965144827,4.645101558632839,18484.0,0.732852,452.9163,4000.0,187.189,1.7628972331784596,id4,0.0,0.03212259838494404
61824.906528732674,313.5244,2333.8803156473427,19913.191327026023,6123.975044372549,51.78682375486387,4.6349005592526,20092.0,0.754814,463.5259,4000.0,187.1669,1.747290655755077,id4,0.0,0.024856265696636244
61783.02132037498,337.6417,1621.2990022233328,14246.173148866666,6614.037835414636,51.735861562328346,4.624514294819569,21700.0,0.777569,474.4274,4000.0,187.146,1.7313750725340018,id4,0.0,0.0
61741.524862922866,361.7589,893.980069401913,8444.89856505298,7104.1006264560565,51.68369108335606,4.613937305474323,23307.0,0.799451,484.5987,4000.0,187.1429,1.714709830145026,id4,0.0,0.0
61700.39853708742,385.8762,151.31104124878127,2518.6139173963093,7594.163417497635,51.63039541865406,4.603162208751806,24915.0,0.815871,491.2861,3793.0,187.1718,1.6676032373245875,id4,0.0,0.0
61660.2869562016,409.9935,-605.0465987465661,-3492.3594423919276,8058.821751855843,51.57633711752766,4.592214591732096,26440.0,0.82,490.6399,3503.0,187.2126,1.6036698681732264,id4,0.0,0.0
61621.61547484202,434.1107,-1365.1629139649353,-9498.649860479245,8488.023160957262,51.522319902224375,4.581238735974152,27848.0,0.82,487.7284,3214.0,187.22,1.5370892844301953,id4,0.0,0.0
61584.4878959856,458.228,-2121.97508960533,-15472.68585302097,8881.767644800535,51.46859174883683,4.570336391243921,29140.0,0.82,485.0421,2924.0,187.1857,1.4689779796015934,id4,0.0,0.0
